lineage
B.1.1.7
B.1.1.7+E484K
B.1.427/B.1.429
B.1.616(c)
B.1.525
P.3
B.1.617.1
B.1.620
B.1.617.3
B.1.214.2
A.23.1+E484K
A.27
A.28
C.16
B.1.351+P384L
B.1.351+E516Q
B.1.1.7+L452R
B.1.1.7+S494P
B.1.526
B.1.526.1
B.1.526.2
P.2
B.1.1.519
AV.1
AT.1
C.36+L452R
P.1+P681H
B.1.621
C.37
AY.4.2
B.1.1.318
B.1.617.2 + K417N
C.1.2
B.1.617.2 + E484X (d)
B.1.617.2 + Q613H
B.1.617.2 + Q677H
B.1.351
P.1
B.1.640
XF
XD
B.1.617.2
BA.1
BA.3
BA.2 + L452X
XAK
B.1.1.529 + R346X
"B.1.1.529 + K444X
"B.1.1.529 + N460X
BA.2.3.20
BF.7
BA.2
BA.4
BA.5
XBC (x)
BN.1
XAY
BQ.1
XBB (z)
